Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,Title
1,1,female,24,0,0,69.3,B35,C,Mrs
0,3,female,3,3,1,21.075,,S,Miss
1,3,female,16,0,0,7.7333,,Q,Miss
1,3,male,32,0,0,56.4958,,S,Mr
0,3,male,22,0,0,7.125,,S,Mr
0,3,male,29,0,0,7.55,,S,Mr
1,3,male,19,0,0,8.05,,S,Mr
1,1,female,54,1,0,78.2667,D20,C,Miss
1,1,male,32,0,0,30.5,B50,C,Rare
1,3,female,15,0,0,7.225,,C,Miss
0,2,male,50,0,0,13.0,,S,Mr
0,3,male,24,0,0,9.5,,S,Mr
1,3,male,22,0,0,7.225,,C,Mr
0,1,male,17,0,0,50.0,A32,S,Mr
0,3,male,20,0,0,8.05,,S,Mr
0,2,male,34,1,0,21.0,,S,Mr
0,2,male,54,0,0,26.0,,S,Mr
0,2,male,39,0,0,13.0,,S,Mr
1,1,male,48,1,0,76.7292,D33,C,Mr
0,2,male,16,0,0,26.0,,S,Mr
0,3,male,21,0,0,7.8542,,S,Mr
0,1,male,36,1,0,78.85,C46,S,Mr
1,3,male,20,1,0,7.925,,S,Mr
0,3,female,18,0,0,7.775,,S,Miss
0,2,male,51,0,0,12.525,,S,Rare
0,3,male,26,0,0,7.8958,,S,Mr
0,3,male,40,0,0,7.75,,Q,Mr
0,2,male,29,1,0,21.0,,S,Mr
0,3,male,27,0,0,8.05,,S,Mr
0,1,male,45,0,0,35.5,T,S,Mr
0,3,female,9,2,2,34.375,,S,Miss
0,1,male,56,0,0,26.55,,S,Mr
0,1,male,70,1,1,71.0,B22,S,Rare
1,3,female,43,0,0,7.7333,,Q,Miss
0,3,male,22,0,0,7.8958,,S,Mr
0,1,male,19,0,0,52.0,A14,S,Mr
0,3,female,18,2,0,18.0,,S,Miss
0,2,male,37,0,0,15.05,,C,Mr
0,3,female,21,1,0,9.825,,S,Miss
0,2,male,32,2,0,73.5,,S,Mr
0,3,female,37,0,0,9.5875,,S,Miss
0,3,male,17,0,0,8.05,,S,Mr
1,3,male,3,1,1,15.9,,S,Master
0,3,male,23,3,1,25.4667,,S,Master
0,3,male,16,0,0,9.5,,S,Mr
1,2,female,34,0,0,13.0,,S,Miss
1,1,female,48,0,0,25.9292,D17,S,Mrs
0,3,male,14,5,2,46.9,,S,Mr
0,3,male,51,0,0,7.75,,S,Mr
1,1,female,35,0,0,135.6333,C99,S,Miss
1,1,male,51,0,0,26.55,E17,S,Mr
0,3,male,39,0,0,7.925,,S,Mr
1,3,male,23,0,0,8.1125,,S,Mr
0,3,female,20,1,0,9.825,,S,Miss
0,3,male,24,0,0,14.5,,S,Mr
1,1,female,38,0,0,80.0,B28,,Miss
0,3,male,49,0,0,0.0,,S,Mr
1,2,female,4,2,1,39.0,F4,S,Miss
0,3,male,26,0,0,7.225,,C,Mr
1,1,male,37,1,1,52.5542,D35,S,Mr
0,3,female,18,0,1,14.4542,,C,Miss
0,3,male,24,0,0,7.7958,,S,Mr
0,3,male,22,0,0,8.05,,S,Mr
1,2,female,33,1,2,27.75,,S,Mrs
1,1,male,49,1,0,89.1042,C92,C,Mr
1,1,male,4,0,2,81.8583,A34,S,Master
0,2,male,35,0,0,26.0,,S,Mr
1,3,female,18,0,1,9.35,,S,Mrs
1,1,female,15,0,1,211.3375,B5,S,Miss
0,3,female,39,1,5,31.275,,S,Mrs
1,1,female,48,1,0,39.6,A16,C,Rare
1,3,male,24,0,0,7.1417,,S,Mr
0,3,male,19,0,0,7.65,F G73,S,Mr
0,3,male,28,0,0,7.8958,,S,Mr
0,3,male,28,0,0,16.1,,S,Mr
1,2,male,62,0,0,10.5,,S,Mr
1,3,male,12,1,0,11.2417,,C,Master
0,2,male,28,0,0,13.5,,S,Mr
1,1,male,42,0,0,26.2875,E24,S,Mr
1,3,female,37,0,0,7.8792,,Q,Miss
0,1,male,33,0,0,42.4,,S,Mr
1,1,male,17,0,2,110.8833,C70,C,Mr
1,2,female,2,1,1,26.0,,S,Miss
0,3,male,37,0,0,7.225,,C,Mr
0,1,male,28,1,0,82.1708,,C,Mr
0,2,male,19,0,0,13.0,,S,Mr
0,3,female,25,0,0,7.775,,S,Miss
0,3,male,42,0,0,7.65,F G63,S,Mr
0,3,male,47,0,0,9.0,,S,Mr
0,3,male,30,0,0,8.05,,S,Mr
1,3,female,22,0,0,7.25,,S,Miss
0,3,male,40,0,2,14.5,,S,Mr
0,1,male,50,1,0,55.9,E44,S,Mr
0,3,male,25,0,0,24.15,,Q,Mr
0,3,male,44,0,0,8.05,,S,Mr
1,2,female,28,0,0,13.0,,S,Miss
0,3,male,34,1,1,14.4,,S,Mr
1,1,female,58,0,0,26.55,C103,S,Miss
1,1,female,24,0,0,69.3,B35,C,Miss
0,3,male,70,0,0,7.75,,Q,Mr
0,1,male,21,0,1,77.2875,D26,S,Mr
0,1,male,55,0,0,30.5,C30,S,Mr
1,3,female,13,0,0,7.2292,,C,Miss
0,2,male,39,0,0,26.0,,S,Mr
0,3,male,4,4,2,31.275,,S,Master
0,3,male,29,0,0,8.05,,S,Mr
1,1,male,27,0,0,30.5,,S,Mr
0,3,male,30,0,0,7.2292,,C,Mr
0,3,male,37,1,0,7.75,,Q,Mr
0,2,male,34,1,0,26.0,,S,Mr
1,1,male,56,0,0,35.5,A26,C,Rare
1,2,female,41,0,1,19.5,,S,Mrs
0,3,male,40,1,0,24.15,,Q,Mr
1,1,female,14,1,2,120.0,B96 B98,S,Miss
0,3,female,26,1,0,16.1,,S,Mrs
0,3,male,15,0,0,7.25,,S,Mr
1,2,female,19,1,0,26.0,,S,Mrs
1,1,female,45,1,1,164.8667,,S,Mrs
0,2,male,27,0,0,13.0,,S,Mr
1,1,female,24,0,0,49.5042,C90,C,Miss
0,3,male,19,0,0,7.775,,S,Mr
1,3,male,21,0,0,7.7958,,S,Mr
0,2,male,19,0,0,10.5,,S,Mr
0,3,male,33,0,0,8.6542,,S,Mr
0,2,male,19,0,0,0.0,,S,Mr
0,3,male,41,0,0,7.8958,,S,Mr
0,2,male,28,0,1,33.0,,S,Rare
0,3,male,38,0,0,8.05,,S,Mr
0,3,female,22,0,0,10.5167,,S,Miss
1,3,female,31,0,0,8.6833,,S,Mrs
0,3,male,25,0,0,7.8958,,S,Mr
1,1,female,16,0,0,86.5,B79,S,Miss
0,3,female,29,1,1,10.4625,G6,S,Mrs
0,3,female,29,0,4,21.075,,S,Mrs
0,3,male,33,1,2,23.45,,S,Mr
1,3,female,17,4,2,7.925,,S,Miss
1,3,female,30,0,0,7.75,,Q,Miss
1,3,female,23,0,0,7.7375,,Q,Miss
0,3,female,38,0,2,15.2458,,C,Mrs
0,3,male,1,5,2,46.9,,S,Master
0,3,female,2,3,2,27.9,,S,Miss
1,2,female,32,0,0,13.0,E101,S,Miss
0,3,male,16,0,0,9.5,,S,Mr
0,3,male,25,0,0,7.7417,,Q,Mr
1,1,female,22,1,0,66.6,C2,S,Mrs
1,2,male,2,1,1,26.0,F2,S,Master
1,1,female,35,1,0,52.0,,S,Mrs
0,3,male,26,0,0,7.8958,,S,Mr
0,3,female,45,1,4,27.9,,S,Mrs
0,3,male,32,0,0,6.95,,Q,Mr
0,3,female,23,0,0,7.925,,S,Miss
1,3,female,27,0,2,11.1333,,S,Mrs
1,1,female,58,0,0,146.5208,B80,C,Miss
0,3,male,1,4,1,39.6875,,S,Master
0,2,male,21,1,0,11.5,,S,Mr
0,3,female,20,8,2,69.55,,S,Miss
0,2,male,60,1,1,39.0,,S,Mr
0,2,male,18,0,0,73.5,,S,Mr
0,3,male,22,0,0,7.7958,,S,Mr
0,3,male,26,0,0,8.05,,S,Mr
0,3,male,26,0,0,7.2292,,C,Mr
0,3,male,4,4,1,29.125,,Q,Master
0,3,female,21,0,0,7.75,,Q,Miss
0,2,male,18,0,0,11.5,,S,Mr
0,3,female,14,0,0,7.8542,,S,Miss
0,1,male,52,1,1,79.65,E67,S,Mr
1,1,female,53,2,0,51.4792,C101,S,Mrs
0,3,male,21,0,0,7.7333,,Q,Mr
0,1,male,38,0,1,153.4625,C91,S,Mr
0,3,male,38,0,0,7.8958,,S,Mr
1,2,female,18,0,1,23.0,,S,Miss
1,3,male,6,0,1,12.475,E121,S,Master
0,2,male,21,0,0,0.0,,S,Mr
0,2,male,23,0,0,15.0458,,C,Mr
1,3,female,24,0,2,16.7,G6,S,Mrs
0,2,male,30,1,0,24.0,,C,Mr
0,2,male,28,0,0,10.5,,S,Mr
0,2,male,36,1,2,27.75,,S,Mr
1,2,female,30,3,0,21.0,,S,Mrs
0,3,male,26,0,0,7.8875,,S,Mr
0,3,male,28,2,0,7.925,,S,Mr
1,3,male,1,1,2,20.575,,S,Master
1,1,male,31,1,0,57.0,B20,S,Mr
1,1,female,35,0,0,512.3292,,C,Miss
1,3,male,40,0,0,7.775,,S,Mr
0,3,male,21,0,0,7.925,,S,Mr
1,1,female,36,0,2,71.0,B22,S,Miss
1,1,male,37,0,0,30.0,D45,S,Mr
1,2,male,8,1,1,36.75,,S,Master
0,1,male,40,0,0,0.0,B94,S,Mr
1,1,male,25,1,0,55.4417,E50,C,Mr
